species_richness,wavelength_nm,cv_spectrum_percent
3,402.188,59.157600718460515
3,406.56199999999995,59.39610224464459
3,410.93800000000005,59.54230527886516
3,415.313,59.38354931226999
3,419.68699999999995,58.813860698048096
3,424.06300000000005,57.84987047034067
3,428.438,56.56504248180503
3,432.813,55.24249007882523
3,437.18800000000005,54.21695034421089
3,441.563,53.5264036777059
3,445.938,53.08990829722894
3,450.31300000000005,52.824539719329444
3,454.688,52.67773825753221
3,459.063,52.63349283645754
3,463.438,52.67565455288462
3,467.813,52.76871202957146
3,472.187,52.87447496895449
3,476.562,52.9654637953588
3,480.938,53.01572752655517
3,485.313,52.981490867375214
3,489.688,52.80706464061304
3,494.063,52.4394793367218
3,498.438,51.81458981698811
3,502.812,50.895826931525065
3,507.188,49.74975836795572
3,511.563,48.48548332129969
3,515.937,47.22118424175661
3,520.313,46.139067542157704
3,524.687,45.333422449214495
3,529.062,44.76056604613941
3,533.438,44.372018868882506
3,537.813,44.12181686074821
3,542.188,43.96386059812423
3,546.563,43.866364064676084
3,550.938,43.82069067719473
3,555.312,43.84168384369781
3,559.688,43.95310976055224
3,564.063,44.17171086589269
3,568.438,44.50314496958226
3,572.813,44.930609028421905
3,577.187,45.400188369491545
3,581.562,45.85902486811895
3,585.938,46.291875812168
3,590.313,46.69137879014035
3,594.688,47.02127576081322
3,599.063,47.299726737425445
3,603.438,47.628031869067215
3,607.812,48.09616794366758
3,612.188,48.72244441414011
3,616.563,49.435797902780955
3,620.937,50.10694685736466
3,625.312,50.652392567625135
3,629.687,51.108312262341094
3,634.063,51.62814152342238
3,638.437,52.4060105832008
3,642.813,53.54622654751206
3,647.188,54.98838833902199
3,651.563,56.55510473023264
3,655.938,58.211571345551924
3,660.313,60.08070403960244
3,664.687,62.06708012810853
3,669.063,63.784364092607426
3,673.438,64.78017230750248
3,677.813,64.71242487459091
3,682.187,63.10114202310489
3,686.562,59.19241749598502
3,690.937,53.39981583234332
3,695.312,48.13013947509829
3,699.688,44.78849374831192
3,704.063,43.06497358917095
3,708.438,42.2618684743599
3,712.813,41.90346198065958
3,717.187,41.7959746757273
3,721.563,41.91019401484064
3,725.938,42.19326653365508
3,730.313,42.55930389312503
3,734.687,42.92564325873952
3,739.063,43.247719405823965
3,743.437,43.50661787283269
3,747.812,43.69393547686895
3,752.188,43.82250296255447
3,756.563,43.92215763580626
3,760.938,44.023027536437354
3,765.313,44.103059507751645
3,769.688,44.13413393574073
3,774.063,44.142548358889165
3,778.438,44.13674034064891
3,782.813,44.11741428948719
3,787.188,44.090527526162624
3,791.563,44.059001708327486
3,795.937,44.02566745359415
3,800.312,43.9938573291983
3,804.688,43.964590641213306
3,809.063,43.94203639357846
3,813.438,43.92447145165323
3,817.813,43.89895653232942
3,822.188,43.86105502102365
3,826.5630000000001,43.81917267451523
3,830.937,43.775450758090706
3,835.313,43.729100086648316
3,839.688,43.68322446399957
3,844.063,43.64033621585337
3,848.437,43.6010567852336
3,852.812,43.563844302863814
3,857.187,43.52818650744976
3,861.563,43.495390318109614
3,865.938,43.46417620566801
3,870.313,43.43424524127732
3,874.687,43.4073846127324
3,879.063,43.38383498442644
3,883.437,43.36366721244486
3,887.813,43.34948931396475
3,892.188,43.34455340852897
3,896.562,43.34482184696821
3,900.938,43.3393376334236
3,905.312,43.327802456433176
3,909.6880000000001,43.31482811752612
3,914.062,43.29542415339713
3,918.438,43.27026989148721
3,922.813,43.25094557480035
3,927.188,43.242898909156075
3,931.563,43.23913589806643
3,935.937,43.21339643982883
3,940.312,43.1487422512033
3,944.688,43.05151357453194
3,949.063,42.90729057620574
3,953.438,42.73652194163478
3,957.812,42.58000644608305
3,962.187,42.464604406471004
3,966.562,42.39310733222676
3,970.938,42.35429829651678
3,975.313,42.334346250650235
3,979.688,42.32356029933976
3,984.063,42.3143676568962
3,988.438,42.2989612872729
3,992.812,42.28394510861311
3,997.188,42.28888829812807
3,1001.5600000000001,42.317673938387465
3,1005.94,42.358868642683504
3,1010.3100000000001,42.4033364089363
3,1014.69,42.44739030476707
3,1019.0600000000001,42.490900472530555
3,1023.4399999999999,42.533306559590656
3,1027.81,42.57115870126982
3,1032.19,42.60176002195782
3,1036.56,42.62570282239788
3,1040.94,42.64416980674894
3,1045.31,42.65717977629057
3,1049.69,42.66511305120998
3,1054.06,42.668497789876724
3,1058.44,42.66814048133764
3,1062.81,42.665290302069245
3,1067.19,42.660521750169366
3,1071.5600000000002,42.65367554330752
3,1075.9399999999998,42.64555882436722
3,1080.3100000000002,42.63822968167824
3,1084.6899999999998,42.63227681257094
3,1089.06,42.626489988824936
3,1093.44,42.62110372071482
3,1097.81,42.61639320116159
3,1102.19,42.61049612877553
3,1106.56,42.60266042266318
3,1110.94,42.59593325633549
3,1115.31,42.59214682738023
3,1119.69,42.58177465592224
3,1124.06,42.524281752292474
3,1128.44,42.378832145732275
3,1132.8100000000002,42.17491523345931
3,1137.1899999999998,41.96438442238458
3,1141.56,41.7521037999068
3,1145.94,41.47616347012056
3,1150.31,41.21766443947168
3,1154.69,41.08726722837696
3,1159.06,41.03554389146828
3,1163.44,41.0151638440221
3,1167.81,41.004868102489304
3,1172.19,40.99726624258865
3,1176.56,40.99431754200334
3,1180.94,40.996346188261256
3,1185.3100000000002,40.99871680293458
3,1189.6899999999998,40.99892274492508
3,1194.06,41.00012889218251
3,1198.44,41.006189305403176
3,1202.81,41.014508439569866
3,1207.19,41.02122739485504
3,1211.56,41.02621301596791
3,1215.94,41.02924136315977
3,1220.31,41.03103591000712
3,1224.69,41.03214191703047
3,1229.06,41.03378374940674
