species_richness,wavelength_nm,cv_spectrum_percent
3,402.188,60.78164281549565
3,406.56199999999995,60.95418718350394
3,410.93800000000005,61.09420586594651
3,415.313,61.052049424696605
3,419.68699999999995,60.746771475608355
3,424.06300000000005,60.19409725256983
3,428.438,59.46652348983551
3,432.813,58.7835189898425
3,437.18800000000005,58.35679326016804
3,441.563,58.176075320268474
3,445.938,58.14557464751743
3,450.31300000000005,58.17802176571121
3,454.688,58.24041467713516
3,459.063,58.33724118108308
3,463.438,58.46430259242332
3,467.813,58.59949916115611
3,472.187,58.71668434171312
3,476.562,58.79730478805201
3,480.938,58.830510639500375
3,485.313,58.798710119649975
3,489.688,58.67202058315888
3,494.063,58.412058943577335
3,498.438,57.9683350827462
3,502.812,57.31197983370685
3,507.188,56.487784110869136
3,511.563,55.571606019364815
3,515.937,54.64140189370001
3,520.313,53.816022311578514
3,524.687,53.16169916467093
3,529.062,52.659751750935044
3,533.438,52.29455472198037
3,537.813,52.0447393684737
3,542.188,51.878651325007276
3,546.563,51.77097537651082
3,550.938,51.715403492428855
3,555.312,51.72606225921522
3,559.688,51.82359828090248
3,564.063,52.0182411622903
3,568.438,52.30719373588112
3,572.813,52.6658613133806
3,577.187,53.039952196175165
3,581.562,53.387064474890764
3,585.938,53.702513545682294
3,590.313,53.98238309842998
3,594.688,54.19486756133458
3,599.063,54.35430878534008
3,603.438,54.540217653827774
3,607.812,54.81731931873155
3,612.188,55.19411421546061
3,616.563,55.62069168506088
3,620.937,56.01538346094036
3,625.312,56.32872597865981
3,629.687,56.583914063254724
3,634.063,56.8757757915753
3,638.437,57.327215845870995
3,642.813,58.00460600852348
3,647.188,58.86644856889318
3,651.563,59.79063327552709
3,655.938,60.748891694227694
3,660.313,61.82551995928981
3,664.687,62.97232842466053
3,669.063,63.950068264246276
3,673.438,64.47099145298537
3,677.813,64.31855891188953
3,682.187,63.20286364924551
3,686.562,60.69687947989952
3,690.937,57.148069989711935
3,695.312,53.962146613428494
3,699.688,51.771502143580925
3,704.063,50.35954586731417
3,708.438,49.42570096759087
3,712.813,48.76315650007097
3,717.187,48.26064538725787
3,721.563,47.93446134156344
3,725.938,47.80969190474581
3,730.313,47.838073211792036
3,734.687,47.9479370425414
3,739.063,48.08024302917041
3,743.437,48.19937347805387
3,747.812,48.287550152127714
3,752.188,48.34837997722235
3,756.563,48.39997502878382
3,760.938,48.457914126872026
3,765.313,48.5014302099877
3,769.688,48.51316473428003
3,774.063,48.513099678751836
3,778.438,48.50585045388164
3,782.813,48.490961885478576
3,787.188,48.47193750240036
3,791.563,48.44997475099136
3,795.937,48.42688768291522
3,800.312,48.40529514320018
3,804.688,48.38581614633164
3,809.063,48.372000721339596
3,813.438,48.36294257031773
3,817.813,48.34804244469364
3,822.188,48.32278816349856
3,826.5630000000001,48.294120912697274
3,830.937,48.26404727619783
3,835.313,48.231301389672474
3,839.688,48.19802122398972
3,844.063,48.16658620530051
3,848.437,48.138068871713045
3,852.812,48.1115394014948
3,857.187,48.08652382007675
3,861.563,48.063921237777016
3,865.938,48.042872802042545
3,870.313,48.02315748591812
3,874.687,48.006162941295194
3,879.063,47.992369588688746
3,883.437,47.98191155929151
3,887.813,47.97661684522561
3,892.188,47.979149272918995
3,896.562,47.98686022718504
3,900.938,47.990734341698335
3,905.312,47.989072219747925
3,909.6880000000001,47.98620305199785
3,914.062,47.97919472214359
3,918.438,47.967890200478706
3,922.813,47.96050968550845
3,927.188,47.96160819058715
3,931.563,47.96797420228373
3,935.937,47.96506385118772
3,940.312,47.934699048555686
3,944.688,47.87521682021459
3,949.063,47.78149374208664
3,953.438,47.66983043444625
3,957.812,47.56858216063011
3,962.187,47.494569664653966
3,966.562,47.44842848563973
3,970.938,47.42330226384344
3,975.313,47.41053368649518
3,979.688,47.40275846303178
3,984.063,47.39464019755022
3,988.438,47.38176755944744
3,992.812,47.368573472526016
3,997.188,47.36844060872142
3,1001.5600000000001,47.38474679587956
3,1005.94,47.409716535826895
3,1010.3100000000001,47.436800100578246
3,1014.69,47.46361045537529
3,1019.0600000000001,47.490607810712454
