wavelength_nm,global_mean_spectrum
402.188,0.012866544601465829
406.56199999999995,0.012969725705972783
410.93800000000005,0.013160282391298734
415.313,0.013438143639354538
419.68699999999995,0.013782595861795432
424.06300000000005,0.014178882275945711
428.438,0.014625633083929421
432.813,0.015096619658905266
437.18800000000005,0.015540601760487667
441.563,0.01595728452883348
445.938,0.016357238522054042
450.31300000000005,0.016727542799007053
454.688,0.01705329632127194
459.063,0.01732355778043342
463.438,0.017531782884513458
467.813,0.017691043661467305
472.187,0.017824889070571785
476.562,0.01795060751331995
480.938,0.018091482950891087
485.313,0.01829960545467031
489.688,0.018636065128633698
494.063,0.01915197186556174
498.438,0.01994472496836174
502.812,0.02114491699503816
507.188,0.02282683276460043
511.563,0.025072390416404907
515.937,0.02800296206635021
520.313,0.03143638504322897
524.687,0.034885104302768394
529.062,0.03803657439825724
533.438,0.04067497423066255
537.813,0.042731256619189306
542.188,0.04430816115055749
546.563,0.045498754929528006
550.938,0.04627514461747646
555.312,0.04649993235218024
559.688,0.046055748824300996
564.063,0.04497278933959693
568.438,0.043387025705494596
572.813,0.04152701222152821
577.187,0.03973732911810786
581.562,0.03826304788105024
585.938,0.03713726041221213
590.313,0.03629463165226382
594.688,0.03568258793535066
599.063,0.035175987267885664
603.438,0.034565942834058276
607.812,0.03372027755963051
612.188,0.03268387418481619
616.563,0.03165132488158831
620.937,0.030838869828247913
625.312,0.030321880397734806
629.687,0.0299775430160486
634.063,0.02954545892127423
638.437,0.02879974496028803
642.813,0.02772527996549358
647.188,0.02650736370191355
651.563,0.025351451540935113
655.938,0.024264837905774352
660.313,0.023164072920516345
664.687,0.022136222235675313
669.063,0.02137813639556139
673.438,0.02105600194038265
677.813,0.021306710106008167
682.187,0.022456170996326675
686.562,0.025346292278227673
690.937,0.031153469723293324
695.312,0.04037658955452229
699.688,0.052735638469539665
704.063,0.0673999906011039
708.438,0.08285333535317364
712.813,0.09836712951544854
717.187,0.11508606279733168
721.563,0.13350533603485062
725.938,0.15137449809060466
730.313,0.16697839106539528
734.687,0.17945749139256076
739.063,0.18910478607253228
743.437,0.19654558885730816
747.812,0.20206858606457712
752.188,0.20596600012354913
756.563,0.20876972115306547
760.938,0.2113114124446791
765.313,0.2135847721629476
769.688,0.21493248973754686
774.063,0.21578280046294218
778.438,0.21647410834026423
782.813,0.2170535203334914
787.188,0.2175609804422362
791.563,0.21803043227824861
795.937,0.21846922903385882
800.312,0.2188814942938415
804.688,0.21926748347299646
809.063,0.21964197513760184
813.438,0.2200366637293191
817.813,0.2204325107383841
822.188,0.220745714681939
826.5630000000001,0.2209595142555542
830.937,0.22112472728347685
835.313,0.22129889887719112
839.688,0.2215182818931607
844.063,0.22178123920088919
848.437,0.22207323896960454
852.812,0.22238271685510727
857.187,0.22268360630174877
861.563,0.2229575786888912
865.938,0.22321593740493204
870.313,0.2234601080087312
874.687,0.22368101250615838
879.063,0.2238797204805427
883.437,0.22405367638642673
887.813,0.2242052632342075
892.188,0.224353960844835
896.562,0.2245113471547936
900.938,0.2246421674404474
905.312,0.22471284568546596
909.6880000000001,0.22473216702858728
914.062,0.2246663923668715
918.438,0.22448197802327846
922.813,0.22422190202929668
927.188,0.2239085376304724
931.563,0.22337148173562277
935.937,0.22207675236190508
940.312,0.22024416638698963
944.688,0.21825788019446252
949.063,0.21563481069339133
953.438,0.212630416083727
957.812,0.20990209273505195
962.187,0.20799857683889655
966.562,0.2069821510132264
970.938,0.2065629980575143
975.313,0.20651892453590429
979.688,0.20680741212342138
984.063,0.2074113512132246
988.438,0.20830924662103925
992.812,0.20944971438118093
997.188,0.21072025755651966
1001.5600000000001,0.21206157992176455
1005.94,0.213492826778791
1010.3100000000001,0.21499898639740322
1014.69,0.21652596775775518
1019.0600000000001,0.2180444887405185
1023.4399999999999,0.21953418014504966
1027.81,0.2209594236352138
1032.19,0.22229323618586427
1036.56,0.2235286876509391
1040.94,0.22465701802269275
1045.31,0.22567166178955708
1049.69,0.22657594979251824
1054.06,0.2273620288329743
1058.44,0.22802265945322758
1062.81,0.22856291572947113
1067.19,0.22899041346601737
1071.5600000000002,0.22930451175884234
1075.9399999999998,0.22949925910812374
1080.3100000000002,0.22957344524687084
1084.6899999999998,0.22952603356491047
1089.06,0.22936492187903548
1093.44,0.22910750357734008
1097.81,0.22875864910333732
1102.19,0.22831794893214832
1106.56,0.2278183498105836
1110.94,0.22732105507604916
1115.31,0.22678418271469525
1119.69,0.22584439772339493
1124.06,0.2234843880591175
1128.44,0.21916522090685361
1132.8100000000002,0.2139653151862264
1137.1899999999998,0.20892330557630892
1141.56,0.2040185726598019
