species_richness,wavelength_nm,local_mean_spectrum
3,402.188,0.009871969096384894
3,406.56199999999995,0.009899610076524503
3,410.93800000000005,0.009995719828464342
3,415.313,0.010195196513105739
3,419.68699999999995,0.010519659134333996
3,424.06300000000005,0.010988605876759634
3,428.438,0.01162904864510897
3,432.813,0.012402124540673437
3,437.18800000000005,0.013187101675120959
3,441.563,0.013932957630479019
3,445.938,0.014617748935190956
3,450.31300000000005,0.015207502785879104
3,454.688,0.015693413215805384
3,459.063,0.016080011721782722
3,463.438,0.016369982922237434
3,467.813,0.01658166009450734
3,472.187,0.01674231761623861
3,476.562,0.016874930174622074
3,480.938,0.01701233905370799
3,485.313,0.01721630482498593
3,489.688,0.01755056182666365
3,494.063,0.01805780567142414
3,498.438,0.018821022392687087
3,502.812,0.019956615385798022
3,507.188,0.02153225688056207
3,511.563,0.023634662351724865
3,515.937,0.026401634144536328
3,520.313,0.02968563106341121
3,524.687,0.03303136205413842
3,529.062,0.03612886414918508
3,533.438,0.03874998627422096
3,537.813,0.04081151426441605
3,542.188,0.04240594132779473
3,546.563,0.043617110525073687
3,550.938,0.04439701199251843
3,555.312,0.044580097734472274
3,559.688,0.04403405230863701
3,564.063,0.04280225312686999
3,568.438,0.04104581555321848
3,572.813,0.039015935621424074
3,577.187,0.03707789957243404
3,581.562,0.03548523344708583
3,585.938,0.03426504249469388
3,590.313,0.0333391351253128
3,594.688,0.0326463753877887
3,599.063,0.03206024508908834
3,603.438,0.031374018043148794
3,607.812,0.030463005886335753
3,612.188,0.029378909363372313
3,616.563,0.02831400416243137
3,620.937,0.027472769404454214
3,625.312,0.026919835989299836
3,629.687,0.026536566517269166
3,634.063,0.026086748864463574
3,638.437,0.025371908561087547
3,642.813,0.02438094595417009
3,647.188,0.023272686273066542
3,651.563,0.022220902746473172
3,655.938,0.021235044583735988
3,660.313,0.02025394300145064
3,664.687,0.019357730428023162
3,669.063,0.01870845481814241
3,673.438,0.018437126693062654
3,677.813,0.018648393720035236
3,682.187,0.019611385909399242
3,686.562,0.022086285274445016
3,690.937,0.02730128711993816
3,695.312,0.036138223976423016
3,699.688,0.04883745005313421
3,704.063,0.0649038439253249
3,708.438,0.08283059407264172
3,712.813,0.10182808775258122
3,717.187,0.1234191898289838
3,721.563,0.14838890171908442
3,725.938,0.1737586434194795
3,730.313,0.19686421619964875
3,734.687,0.21594759125720966
3,739.063,0.23100959106538185
3,743.437,0.24270347982720866
3,747.812,0.2513129842644748
3,752.188,0.25725489183737926
3,756.563,0.2613677443873496
