species_richness,wavelength_nm,local_mean_spectrum
3,402.188,0.010781536114227492
3,406.56199999999995,0.010816009920090438
3,410.93800000000005,0.010922625589591917
3,415.313,0.01113429407851072
3,419.68699999999995,0.011470359431696124
3,424.06300000000005,0.01194957733474439
3,428.438,0.012598595745512284
3,432.813,0.013377326874178834
3,437.18800000000005,0.014164948474499396
3,441.563,0.014912065747776069
3,445.938,0.015598181914538146
3,450.31300000000005,0.016189815637189894
3,454.688,0.016678400498931295
3,459.063,0.01706864151987247
3,463.438,0.017363399614114313
3,467.813,0.017580619108630343
3,472.187,0.01774743018322624
3,476.562,0.017886567318928428
3,480.938,0.01803083445469383
3,485.313,0.018241897846455687
3,489.688,0.01858320732950233
3,494.063,0.01909670585533604
3,498.438,0.019865289513836613
3,502.812,0.021006677767145446
3,507.188,0.022589345152373427
3,511.563,0.024699227202218024
3,515.937,0.027473609698936342
3,520.313,0.030765482361894102
3,524.687,0.034119782481575385
3,529.062,0.03722599508473649
3,533.438,0.03985512083861977
3,537.813,0.0419241647538729
3,542.188,0.043526303940452635
3,546.563,0.044744890658184884
3,550.938,0.04553192861843854
3,555.312,0.04572384811472148
3,559.688,0.04519040542189032
3,564.063,0.043974060316104444
3,568.438,0.042233409138862046
3,572.813,0.040218275499064475
3,577.187,0.03829551432747394
3,581.562,0.036719970267731696
3,585.938,0.03551664819708094
3,590.313,0.03460528958356008
3,594.688,0.03392680202960037
3,599.063,0.03335639489232563
3,603.438,0.03268710957840085
3,607.812,0.031793908855179326
3,612.188,0.03072806901182048
3,616.563,0.029681395671796052
3,620.937,0.028857647988479583
3,625.312,0.028320950472261755
3,629.687,0.027953144549392163
3,634.063,0.02751861287979409
3,638.437,0.026819934450322762
3,642.813,0.02584653107682243
3,647.188,0.024755562238860874
3,651.563,0.023720821985043584
3,655.938,0.022754253435414283
3,660.313,0.02179527091793716
3,664.687,0.020922419887501747
3,669.063,0.02029584256291855
3,673.438,0.020045417649089358
3,677.813,0.02027494099223986
