species_richness,data_dir,n_valid_pixels,n_valid_bands,CHV,CV_mean_400_2500,CV_mean_430_925,CV_mean_430_700,CV_mean_700_900,CV_mean_1500_1800,CV_mean_2000_2500,CHA_local_mean,CHA_local_median,CHA_local_std,CHA_global_mean,CHA_global_median,CHA_global_std,SAM_local_mean,SAM_local_median,SAM_local_std,SAM_global_mean,SAM_global_median,SAM_global_std,SID_local_mean,SID_local_median,SID_local_std,SID_global_mean,SID_global_median,SID_global_std
3,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/3sp/50cm,400,393,2.605810158152092,44.15465178829177,33.982010659085596,35.751430151091824,31.805737800002827,38.57984239855822,69.63130870577925,0.7712038331992338,0.74332098202351,0.1298097680393322,0.7090366635698697,0.6801635282728855,0.14104552498651868,0.07075388135575877,0.04860685569445161,0.06470681979055755,0.11184356801283563,0.10712859229318122,0.052204589856864374,0.025652735704256684,0.009208018903910202,0.045975937744126616,0.043577982490258335,0.032639571271771334,0.04346924826592918
5,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/5sp_with_abundance/50cm,400,393,2.0929702202334797,46.142704231390326,34.83495494340589,39.49069063579593,29.15535176356842,41.12722746265168,75.909202068391,0.6989860014592837,0.6843256878511328,0.10590398897449796,0.6689044658191168,0.6541999330024424,0.11118441793856172,0.07831360365801125,0.05894625106045895,0.06788910197073889,0.10802105584526692,0.10357325985040489,0.05883412999687059,0.027887247677181363,0.012962911152965469,0.05023782698873895,0.041926251139600475,0.031149954965349023,0.04439362019950052
7,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/7sp/50cm,400,393,3.4978212463674656,44.15476580431861,32.062690979345824,34.90499047483272,28.624378760475313,40.649686998042334,73.46166239886932,0.7788160519036634,0.7627383244199488,0.11448311593965023,0.7097196866466843,0.6943018038097359,0.1232176698912495,0.10448146423267005,0.08076680991963447,0.08317101356310586,0.10101252206208577,0.07709865365378803,0.08903918615701975,0.03809817476831679,0.02145331221205958,0.05475481214381369,0.037345568291419474,0.016954727323916827,0.062101702680007705
10,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/10sp_v2/50cm,400,393,1.7734521963013306,31.219861624444068,28.008021233319056,30.62117608354526,24.854031678575268,29.078361082246683,41.16580828648215,0.8846444478671986,0.8696957987729681,0.10970008279840553,0.7673068870312488,0.7517620396732738,0.12555853860270552,0.050937698895875336,0.04056920081170014,0.04021324511778746,0.05804296364020522,0.04862240462469496,0.0369171816467113,0.010792149123798613,0.004655244995414875,0.02282006743445807,0.013618350341521798,0.007605510902375964,0.020897871811241257
12,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/12sp/50cm,400,393,4.460091913593874,48.98806645541958,36.649328820063,41.55809186812775,30.71070077595379,45.3519616303275,80.69937032933896,0.7854606873780615,0.7644314679191874,0.12196078361688377,0.7139011717200053,0.6932049116913284,0.13118451872963666,0.11592012513031939,0.09198463391716391,0.08986472979567207,0.11156293487598813,0.07826583478691923,0.0968709373542892,0.045735052371829975,0.02471647154540875,0.06290031089864316,0.04460615659746054,0.01905548198730987,0.07011970513183574
15,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/15sp_with_abundance/50cm,400,393,1.8702048245371825,51.85433393596404,48.364686007092395,55.99104313622838,39.142460480722576,46.43980930642294,69.26370157832417,0.52741575169522,0.5130436898809944,0.09933173363444918,0.5855878891383332,0.5717543588134091,0.09139508507945067,0.09765599126783131,0.07701325804713124,0.07294422492066803,0.1034495436313739,0.07154821377327747,0.08600638278096748,0.037572295442600406,0.01584580980861699,0.07921367285943283,0.0397033581509066,0.01288020378847747,0.07880460248810789
17,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/17sp/50cm,400,393,5.724661551803563,49.48392786827135,36.00190441457498,40.62648148384237,30.469552277525363,48.42392153017685,82.21373339181466,0.7971652119075039,0.7745801909735699,0.12115393328236669,0.721985683396806,0.6987135664292534,0.1302771968747934,0.1389522223320064,0.11661304463727029,0.10283241456591459,0.129570390796666,0.08594049756307993,0.12345780036069809,0.0581536896965184,0.034197564685020526,0.07142838152585947,0.05766125579090059,0.02066479885991498,0.09510469059066726
20,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/20sp/50cm,400,393,1.2404478818779066,58.52603550101449,55.360193707679294,66.37738051460596,41.9928919849779,52.228333375370234,78.21551930900449,0.46918962421511706,0.45433032937258877,0.09655155581033063,0.5590350714009634,0.5439452318603819,0.08351958810717018,0.08548353747991304,0.06800583141136858,0.06324837545070605,0.08901766578450983,0.07259391037151497,0.060680768823419516,0.0559828884970316,0.013680699005728218,0.22051842886744277,0.0577013236126274,0.015732854500393703,0.22263028254755834
22,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/22sp/50cm,400,393,2.3541440383331347,60.00321231607426,55.47560956527343,65.15744868699346,43.76100711387393,53.78310029192815,80.76393279406513,0.484980443563947,0.4641418396015764,0.10601745363304646,0.5660008599077643,0.5460914532268718,0.094385282095758,0.08441085939422929,0.06535602541554404,0.06086963044600157,0.08802127875669619,0.06992670298706842,0.05830337491452278,0.047565311734111104,0.012572734347506958,0.1896561355711265,0.05047735947739254,0.015377047251517069,0.19592516577579253
25,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/25sp_with_abundance/50cm,400,393,2.0748446802397487,56.85151766210633,52.409298898968025,61.471630930826976,41.44534965042825,51.05637965460718,76.96492570961075,0.4637340145133277,0.44608299143670327,0.09467635687827307,0.5565739336462484,0.5387862965508001,0.08167846337716086,0.08825462192232456,0.07202575670538058,0.06906662742609637,0.09123737156023548,0.07504978984275246,0.06712120167571128,0.05484729275979146,0.014316907115471868,0.1644295192978676,0.05757452804786427,0.015828675583597334,0.17018950498709468
27,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/27sp/50cm,400,393,2.8669608199437424,71.50287419130257,57.76575789507576,68.34580514996608,44.92962560926948,66.11613584549808,110.29628809001964,0.49500657387584746,0.4690584974963079,0.11280602033259558,0.5727344553948305,0.5477960381070234,0.10152930984515222,0.11255639858516168,0.08655968383131799,0.0901982741305041,0.1081420794927792,0.07685835177260461,0.09819974190570915,0.0606932519488476,0.020933526212392556,0.19476625551485693,0.057165785948548216,0.016061214452403324,0.17969083930157212
30,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/30sp_with_abundance/50cm,400,393,1.215200013448338,59.462768601445276,56.317663345399204,65.26813965964969,45.448922497108015,54.67464020523671,75.73399510860972,0.4744942493747945,0.4524792157309814,0.10626852245855345,0.5621279775843964,0.5414854669610778,0.09282872385257006,0.08511177974301319,0.06937187768708974,0.06127095122796465,0.08956540673446675,0.07186933048926984,0.059236741559905604,0.05169078887753513,0.01328068909588247,0.23189678615655113,0.056713569066119095,0.014365364606010518,0.24837058387870442
