wavelength_nm,global_mean_spectrum
402.188,0.009831730836931835
406.56199999999995,0.00996199893759303
410.93800000000005,0.010190318700859962
415.313,0.01050878855431525
419.68699999999995,0.010891959902117871
424.06300000000005,0.011325071091050442
428.438,0.01180811498555368
432.813,0.012315249324271539
437.18800000000005,0.012793306690865525
441.563,0.013242944743388989
445.938,0.013674523603307686
450.31300000000005,0.014074334170211238
454.688,0.014429214204313515
459.063,0.01472933018256299
463.438,0.01496753367116374
467.813,0.015156618827312134
472.187,0.01532005798327399
476.562,0.015473370346815897
480.938,0.015639065400553893
485.313,0.015871477443061697
489.688,0.01623370907888879
494.063,0.01677576463142619
498.438,0.01759587173305198
502.812,0.01882577643395937
507.188,0.020534979968975523
511.563,0.022801877991124164
515.937,0.025751614604807477
520.313,0.029204664004970862
524.687,0.03267268873869398
529.062,0.03584359399612367
533.438,0.03850226538714196
537.813,0.040580076471619576
542.188,0.04217904962700686
546.563,0.04338959035440894
550.938,0.044183036825561434
555.312,0.044425568834600804
559.688,0.044003812499204285
564.063,0.04294804804142283
568.438,0.041390543682017174
572.813,0.03955509911270103
577.187,0.03778631669412486
581.562,0.036334978864482156
585.938,0.035238426581551414
590.313,0.03442554880532346
594.688,0.03383244239663024
599.063,0.033334427494049426
603.438,0.03273240962316834
607.812,0.031899989820481096
612.188,0.030881230127109423
616.563,0.029868143833197205
620.937,0.029076222957020642
625.312,0.028581087972059625
629.687,0.02825718892856912
634.063,0.027841427130537114
638.437,0.02711246370322518
642.813,0.026060349066545238
647.188,0.024866016744301896
651.563,0.02372699799074629
655.938,0.022650934738136737
660.313,0.021559711694599172
664.687,0.020543776273073414
669.063,0.019799873892865208
673.438,0.019493655376530417
677.813,0.0197624768364553
682.187,0.020932662242775926
686.562,0.023848770561770274
690.937,0.029692291715156596
695.312,0.03895130071122063
699.688,0.051328031534861415
704.063,0.06598130025840267
708.438,0.08134935371798444
712.813,0.09668564438213556
717.187,0.11323476607748792
721.563,0.1315929737506182
725.938,0.14940743792346137
730.313,0.16488676910783398
734.687,0.177169070513822
739.063,0.18661094192260255
743.437,0.1938849875406595
747.812,0.19928685924222614
752.188,0.20310042658811048
756.563,0.20584252633338718
760.938,0.20835176003679712
765.313,0.21062983193687007
769.688,0.21197635570346998
774.063,0.21282530911383218
778.438,0.2135254083905602
782.813,0.21412187252591441
787.188,0.2146510753321733
791.563,0.21514520255548025
795.937,0.2156097024763585
800.312,0.21604798830550861
804.688,0.21645874955992137
809.063,0.21685480247610636
813.438,0.21727268055964183
817.813,0.21770091232067595
822.188,0.2180501152353827
826.5630000000001,0.21829830853637153
830.937,0.21849862376538415
835.313,0.2187077737644237
839.688,0.21895954617415556
844.063,0.21925231290127462
848.437,0.21957353165276194
852.812,0.21991359364493596
857.187,0.22024595539706449
861.563,0.22055077799692904
865.938,0.22084067699635246
870.313,0.22111715883695676
874.687,0.22136985798249953
879.063,0.221600690302245
883.437,0.22180702702413935
887.813,0.22198865878531554
892.188,0.2221634261048166
896.562,0.22234834011411295
900.938,0.22251442070390717
905.312,0.22262056714195447
909.6880000000001,0.22267391317912066
914.062,0.22264723826840055
918.438,0.2225050053660137
