wavelength_nm,global_mean_spectrum
402.188,-0.0012117396475218338
406.56199999999995,-0.0010861609681790203
410.93800000000005,-0.0008610324483057971
415.313,-0.0005407166599806127
419.68699999999995,-0.00014939641113291676
424.06300000000005,0.0002975914567093459
428.438,0.0007987088943258887
432.813,0.0013249382481347284
437.18800000000005,0.0018205936020577458
441.563,0.002287079937672516
445.938,0.002737026210082174
450.31300000000005,0.003155790597323431
454.688,0.00352675131682048
459.063,0.003838656865438619
463.438,0.0040846214806089165
467.813,0.0042788026704865464
472.187,0.004446458047783466
476.562,0.004605662412924793
480.938,0.004780916841648673
485.313,0.0050281779923070265
489.688,0.005412618491522778
494.063,0.005986991146866091
498.438,0.00685494414953664
502.812,0.008156309799399566
507.188,0.009968705164957186
511.563,0.012376857220596473
515.937,0.015510834527522093
520.313,0.019178983990177645
524.687,0.022864241030813068
529.062,0.026235197449950447
533.438,0.029062749722761416
537.813,0.03127483125809382
542.188,0.03298068589966761
546.563,0.03427517082399978
550.938,0.03512593370334666
555.312,0.03539191124615305
559.688,0.034957595980389444
564.063,0.03385575390509691
568.438,0.03222051272019542
572.813,0.03028681877709611
577.187,0.028424147107461994
581.562,0.02689866144584973
585.938,0.025745713108159738
590.313,0.024893325180680867
594.688,0.024283733796415904
599.063,0.02378413920707506
603.438,0.023175224838911768
607.812,0.022319231836112348
612.188,0.021264181923220632
616.563,0.020215428000402748
620.937,0.01940036106726609
625.312,0.01889727572041134
629.687,0.01857488901937927
634.063,0.01815813174847676
638.437,0.01741242750264879
642.813,0.016324944445192398
647.188,0.015087827195334663
651.563,0.013913179683776585
655.938,0.012810144435412289
660.313,0.011698587975401154
664.687,0.01067393361174761
669.063,0.009935450197273592
673.438,0.009650119693087524
677.813,0.00996303307866801
682.187,0.011218085155127207
686.562,0.01430449307233656
690.937,0.020473982739662045
695.312,0.03024823506878344
699.688,0.043314994970003226
704.063,0.05878768293722411
708.438,0.0750172857213056
712.813,0.09121143868637015
717.187,0.1086842217903298
721.563,0.12807366248016477
725.938,0.1468996041753538
730.313,0.1632659570328542
734.687,0.1762555486999069
739.063,0.18624098412927803
743.437,0.19393143367103827
747.812,0.19963856563772575
752.188,0.20366252471728633
756.563,0.20654909576728642
760.938,0.20918378660513554
765.313,0.21157897709166112
769.688,0.21299923553373445
774.063,0.21389301081711284
778.438,0.2146265079646158
782.813,0.2152489402178738
787.188,0.21579945720888646
791.563,0.21631331998235206
795.937,0.21679661157471855
800.312,0.21725207856805961
804.688,0.21767837385697325
809.063,0.21808747192559166
813.438,0.2185167266170174
817.813,0.21895709353202317
822.188,0.21931817334272183
826.5630000000001,0.21957536344572418
830.937,0.21978302505261582
835.313,0.2200008389002384
839.688,0.22026363486056047
844.063,0.2205687593085107
848.437,0.22090235769441885
852.812,0.22125440103984753
857.187,0.22159788390311708
861.563,0.22191240331973858
865.938,0.22221076620977934
870.313,0.2224944416026284
874.687,0.2227527558609457
879.063,0.22298749072185578
883.437,0.2231959515576879
887.813,0.22337765650230115
892.188,0.2235502943454473
896.562,0.22373141814269426
900.938,0.223893321992673
905.312,0.22399526943236803
909.6880000000001,0.22404264076920904
914.062,0.2240066237206823
918.438,0.22385157481716306
922.813,0.2236140729428492
927.188,0.22331387717657586
931.563,0.22278226288949857
935.937,0.2214520086813718
940.312,0.21954674840433047
944.688,0.21751825580842707
949.063,0.2148423513149222
953.438,0.21178951547499308
