species_richness,data_dir,n_valid_pixels,n_valid_bands,CHV,CHA_local_mean,CHA_local_median,CHA_local_std,CHA_global_mean,CHA_global_median,CHA_global_std,SAM_local_mean,SAM_local_median,SAM_local_std,SAM_global_mean,SAM_global_median,SAM_global_std,SID_local_mean,SID_local_median,SID_local_std,SID_global_mean,SID_global_median,SID_global_std
3,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/3sp/50cm,400,393,2.9171052439979097,0.8208182674450459,0.7908200978501658,0.13656269406348892,0.7515334676531333,0.720905716912675,0.1486885609315012,0.07442919136145869,0.05291353053229919,0.06653183289241625,0.11901645656089027,0.11515126783278849,0.053922159096312386,0.06799249447379406,0.02574868175801824,0.12131438343337479,0.10452625235974528,0.05652391981833805,0.1658699065832494
5,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/5sp_with_abundance/50cm,400,393,2.247812166616124,0.7448760478345587,0.7296985546064396,0.11110406841037199,0.7092418979434715,0.6943403324715299,0.11706336867500765,0.08302583861806355,0.0650542591263359,0.06999153759084925,0.11714787988081411,0.11221764626901456,0.06089329434985158,0.08228890356269279,0.03928302444653579,0.12874714956789216,0.13678548321778192,0.08095947066339527,0.18899930942847828
7,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/7sp/50cm,400,393,3.790602636861246,0.8272515671622591,0.8106159568039131,0.11941153131739472,0.751990671540139,0.7363327824988601,0.12886096945874434,0.10874866890740995,0.0867195581795255,0.08575843874633522,0.1055200649354849,0.08062202553330504,0.09090564553035277,0.06792843600240493,0.035974632417882124,0.0861061482721952,0.0647343442428024,0.03415651412991062,0.08781577657163897
10,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/10sp_v2/50cm,400,393,2.044834661676289,0.9376919045443199,0.9224866025072559,0.11435116134249944,0.8124274405926188,0.7964984606119416,0.131296389128428,0.05311068229007146,0.04365942529520719,0.04159704264813208,0.06148626203898418,0.05176688976370736,0.037757112538921465,0.02461251877477448,0.010075436440737832,0.04337004232602513,0.03008676398647977,0.01773383078458863,0.042292090031970486
12,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/12sp/50cm,400,393,4.743736773581967,0.8257905375349963,0.8038713127911508,0.12666028257882717,0.7518213838917479,0.7304293110839465,0.13615750137142124,0.11985145031410109,0.09590240937941213,0.09197358391708685,0.11506517401765554,0.08147761461830368,0.09972091377794892,0.07770969325428306,0.04263487576780742,0.10570343114190249,0.07448503420940736,0.036330792082335084,0.10497680415206659
15,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/15sp_with_abundance/50cm,400,393,2.008901834878795,0.5544881400932671,0.5397857109188267,0.10318298778709262,0.6171306170935522,0.6024945540512673,0.0944150750689918,0.10749122660350974,0.08376200030399096,0.08354042999728811,0.11404173999867301,0.07844913687313963,0.09484528776908245,0.12079383454348988,0.04566328727806748,0.3021336227483907,0.11444937283782255,0.04434121211368405,0.25541188209962784
17,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/17sp/50cm,400,393,6.190527728630412,0.8459977068999827,0.8225906523807743,0.12651073488243508,0.7644561072274763,0.741082515123724,0.1362489800699782,0.14481569730663316,0.12076103299967086,0.10637094767570669,0.1350889723648593,0.09102635534686676,0.12654974260796528,0.10184850261867374,0.05363763958880584,0.14892126755588758,0.0972665944505095,0.041430926663494266,0.14338194975549204
20,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/20sp/50cm,400,393,1.415906807473905,0.49444782131405934,0.47935085379357234,0.09947718479113814,0.5893720061894486,0.5744806486820937,0.08590096924664739,0.09699384400052619,0.07437154759862746,0.07602338505486961,0.0999350621191187,0.07915168158209399,0.07391605567493846,0.1660028936736704,0.04482568230120004,0.3812860249867812,0.1666024366962757,0.04495643000007146,0.3815781160229203
22,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/22sp/50cm,400,393,2.48594930503324,0.5021750159336765,0.48052127455895643,0.11087086567013885,0.5933739647887142,0.5725008558480615,0.0978189521413453,0.10653731435320074,0.07605043290209934,0.12318690410202265,0.11127883652097079,0.08104121653825022,0.12214732094873736,0.23218860390526058,0.0481672115894583,0.8038571231823465,0.2508102698054455,0.05238267746003675,0.8278751720496529
25,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/25sp_with_abundance/50cm,400,393,2.207137044501895,0.48111099810117536,0.4632791744728522,0.0979146053060813,0.5839389422035679,0.5665884688229107,0.08360159971609071,0.10361455353781736,0.07933344667785688,0.10325214222557685,0.10587188231509831,0.08249945947611378,0.1022867147485657,0.17784648655503474,0.04419927317599315,0.45806965026322616,0.1843112751144399,0.048265005571775606,0.46473136291493217
