Metric,Best_model,Slope_lin,Slope_log,R2_lin,p_lin,LOOCV_RMSE_lin,R2_log,p_log,LOOCV_RMSE_log,p_Bonferroni,p_BH_FDR,sig_Bonferroni,sig_FDR,SW_p_residuals,Influential_pts
PCA-CHV,linear,20.3441,252.8018,0.8997,3e-06,70.4682,0.7363,0.000356,121.0244,2.1e-05,2.1e-05,True,True,1.0,[10]
SAM,log-linear,0.0032,0.0484,0.5925,0.003413,0.0288,0.7139,0.000541,0.0225,0.004326,0.000721,True,True,0.8546,[11]
SID,log-linear,0.0033,0.0453,0.4923,0.010985,0.0367,0.4986,0.010269,0.0341,0.08215,0.010269,False,True,0.9703,"[10, 11]"
CHA,linear,-0.0138,-0.1727,0.6042,0.002926,0.1087,0.5012,0.009988,0.1263,0.023405,0.003344,True,True,0.5633,none
CV,linear,1.9418,24.8611,0.8832,6e-06,6.9576,0.7673,0.000187,10.4749,4.5e-05,2.3e-05,True,True,0.8624,none
AE-CHV,linear,0.5507,6.5448,0.8089,6.8e-05,3.0061,0.6056,0.002874,4.2224,0.000548,0.000137,True,True,0.3823,[11]
AE Latent Variance Sum,linear,0.0069,0.0901,0.8224,4.7e-05,0.0331,0.7536,0.000251,0.0397,0.000376,0.000125,True,True,0.3658,[11]
AE Mean Pairwise Distance,linear,0.0088,0.1198,0.7999,8.7e-05,0.0448,0.7881,0.000116,0.0467,0.000693,0.000139,True,True,0.6673,[9]
