Metric,Best_model,Slope_lin,Slope_log,R2_lin,p_lin,LOOCV_RMSE_lin,R2_log,p_log,LOOCV_RMSE_log,p_Bonferroni,p_BH_FDR,sig_Bonferroni,sig_FDR,SW_p_residuals,Influential_pts
PCA-CHV,linear,0.0726,0.8466,0.311,0.059587,1.1101,0.2244,0.119789,1.1576,0.476696,0.065348,False,False,0.6809,[11]
SAM,log-linear,0.001,0.0171,0.196,0.149476,0.0208,0.2998,0.065348,0.0189,0.522782,0.065348,False,False,0.1564,[11]
SID,linear,0.0058,0.0741,0.6851,0.000888,0.0401,0.5871,0.003656,0.0468,0.007107,0.006185,True,True,0.8062,[11]
CHA,linear,-0.0155,-0.194,0.6214,0.00232,0.1182,0.5136,0.008729,0.1383,0.018556,0.006185,True,True,0.323,none
CV,linear,0.9529,11.5249,0.6357,0.001896,7.6855,0.4928,0.010931,9.4528,0.015171,0.006185,True,True,0.7796,"[0, 10]"
AE-CHV,linear,0.0833,1.1214,0.3847,0.031433,1.1797,0.3698,0.035912,1.1207,0.251463,0.04191,False,True,0.1685,"[10, 11]"
AE Latent Variance Sum,log-linear,0.008,0.1254,0.3201,0.055178,0.1208,0.4177,0.023152,0.1078,0.185214,0.037043,False,True,0.7949,[11]
AE Mean Pairwise Distance,log-linear,0.0062,0.0999,0.3341,0.048995,0.0894,0.4643,0.014687,0.078,0.117499,0.029375,False,True,0.5948,none
