Metric,Best_model,Slope_lin,Slope_log,R2_lin,p_lin,LOOCV_RMSE_lin,R2_log,p_log,LOOCV_RMSE_log,p_Bonferroni,p_BH_FDR,sig_Bonferroni,sig_FDR,SW_p_residuals,Influential_pts
PCA-CHV,linear,4.2553,54.0348,0.6878,0.00085,28.6231,0.5878,0.003625,34.851,0.006799,0.00136,True,True,0.8478,none
SAM,log-linear,0.0027,0.0408,0.5205,0.008089,0.0262,0.6194,0.002382,0.0226,0.019057,0.002722,True,True,0.6933,none
SID,linear,0.0035,0.0473,0.7654,0.000195,0.0191,0.7383,0.000342,0.021,0.00156,0.00052,True,True,0.722,[3]
CHA,linear,-0.0139,-0.1726,0.6057,0.002869,0.1093,0.4943,0.010757,0.1285,0.02295,0.002869,True,True,0.366,none
CV,linear,1.3037,16.4714,0.6938,0.000768,8.5575,0.5869,0.003665,10.2618,0.006146,0.00136,True,True,0.5549,[3]
AE-CHV,linear,0.7109,8.9425,0.6216,0.002313,5.39,0.5213,0.008011,6.5079,0.018506,0.002722,True,True,0.9955,none
AE Latent Variance Sum,linear,0.0722,0.9581,0.8292,3.9e-05,0.3167,0.7737,0.000162,0.3875,0.000309,0.000155,True,True,0.8048,none
AE Mean Pairwise Distance,linear,0.0415,0.5571,0.8443,2.4e-05,0.1714,0.8062,7.3e-05,0.2023,0.000193,0.000155,True,True,0.2042,none
