Metric,Best_model,Slope_lin,Slope_log,R2_lin,p_lin,LOOCV_RMSE_lin,R2_log,p_log,LOOCV_RMSE_log,p_Bonferroni,p_BH_FDR,sig_Bonferroni,sig_FDR,SW_p_residuals,Influential_pts
PCA-CHV,log-linear,0.7452,10.4613,0.3615,0.038657,10.259,0.3775,0.033523,9.8807,0.268184,0.044697,False,True,0.709,[11]
SAM,log-linear,0.0013,0.0214,0.2251,0.119134,0.024,0.3245,0.053197,0.0221,0.425575,0.060796,False,False,0.8718,none
SID,log-linear,0.0014,0.0195,0.2596,0.090608,0.0238,0.273,0.081384,0.023,0.651071,0.081384,False,False,0.4483,[11]
CHA,linear,-0.0147,-0.1829,0.6239,0.00224,0.111,0.5124,0.008848,0.1313,0.017922,0.004545,True,True,0.3293,none
CV,linear,0.7432,9.3374,0.6228,0.002273,5.7437,0.5211,0.008035,7.0072,0.018182,0.004545,True,True,0.9987,none
AE-CHV,linear,1.3101,16.5954,0.5726,0.004388,12.384,0.487,0.011622,13.1039,0.035107,0.007021,True,True,0.7369,[11]
AE Latent Variance Sum,linear,0.0791,1.0214,0.7112,0.000568,0.4879,0.6291,0.002081,0.5889,0.004546,0.002273,True,True,0.405,none
AE Mean Pairwise Distance,linear,0.0308,0.4023,0.7475,0.000285,0.172,0.6775,0.001005,0.2084,0.002276,0.002273,True,True,0.3202,none
