species_richness,data_dir,n_valid_pixels,n_valid_bands,CHV,CHA_local_mean,CHA_local_median,CHA_local_std,CHA_global_mean,CHA_global_median,CHA_global_std,SAM_local_mean,SAM_local_median,SAM_local_std,SAM_global_mean,SAM_global_median,SAM_global_std,SID_local_mean,SID_local_median,SID_local_std,SID_global_mean,SID_global_median,SID_global_std
3,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/3sp/2cm,235225,393,52.52797207450608,0.7840258650351181,0.7556836447635519,0.18213903809242085,0.7173798299544375,0.6906151039342353,0.19825085051236657,0.07683134364773861,0.048487456710944024,0.10913092407629052,0.1292287931184992,0.11316345393224506,0.09210676322994264,0.04571691759865954,0.009062625025415326,0.30458749474083235,0.07513679986844606,0.040404932813975454,0.29418528516923087
5,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/5sp_with_abundance/2cm,235225,393,62.640083760591224,0.7233610319745474,0.6924708407656494,0.17531264129063617,0.6843608098908212,0.6540385696766479,0.18516325190134444,0.08451046292923636,0.05684113022242461,0.10287107414826739,0.12449418008778254,0.10880995955007457,0.0893198152279548,0.04726676772168369,0.011901803455852133,0.2748578343338811,0.0731674026116249,0.037524627815958514,0.2712415954888067
7,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/7sp/2cm,235225,393,73.93359800054291,0.8019066726171012,0.7746897958943588,0.17949696194775747,0.7273785700540213,0.7020302175058469,0.19294337473037715,0.13488112434953195,0.09306027264034077,0.14171876313883675,0.13352671250995282,0.09114370843592615,0.14372526275900094,0.07530127593176598,0.028150752293146203,0.18764608112551814,0.07533815467801767,0.026329074922340115,0.1909855238400057
10,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/10sp_v2/2cm,235225,393,84.53208803409308,0.9001418137416142,0.8618755517269152,0.2111646146676662,0.7806606565088878,0.7447026378534866,0.23792922559859536,0.10228515903139794,0.0718352158753868,0.1171892249388472,0.10524620517371377,0.07469600608241594,0.11550239119975575,0.05423328903974096,0.014494372207192296,0.2928097409953602,0.057015566758581125,0.01706565154179988,0.2907399960141426
12,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/12sp/2cm,235225,393,149.0261058075588,0.7949023027226818,0.7533171758516181,0.20538105687739733,0.7254081908030501,0.6845526993450999,0.2188934647111951,0.1366105923103521,0.09420305455229742,0.1374807026569057,0.13056728843103324,0.08451934802619805,0.14451084775948148,0.0670842527143937,0.02422385867837632,0.12302271695412266,0.06534750985852956,0.018221672450165316,0.13593849781582545
15,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/15sp_with_abundance/2cm,235225,393,227.11925033302504,0.5297901301143977,0.44847606128002987,0.21584473314799624,0.600925656664379,0.522807539077057,0.1995353626235525,0.1473182949463886,0.10190874292414813,0.1434302924086909,0.15834086332234204,0.10484152859049395,0.15857362698704372,0.06957342851646726,0.023130492505006796,0.13341158032933445,0.08653775147866037,0.025693200570431673,0.16922234260529204
17,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/17sp/2cm,235225,393,195.40537549007965,0.8085159145846109,0.7681278276261054,0.20795719924033906,0.7351729383070383,0.6953469796629284,0.22097357646100882,0.17370494396396882,0.12811584067939513,0.15036519436760729,0.15550821645994797,0.09291999932583024,0.17332953081950284,0.09522359445049708,0.04587939254086083,0.13130266367900778,0.09037370577576949,0.023264130206739217,0.16811757092964646
20,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/20sp/2cm,235225,393,291.60877412196663,0.4945027391908102,0.40228709122257506,0.21859042905969622,0.584958347073577,0.4991899037175695,0.19692677417877424,0.1359930753506521,0.09878159798507188,0.12662849058830647,0.13830919873829037,0.10120140681947302,0.12804148187415895,0.06899026117541417,0.02363906673920435,0.1263388054477008,0.07192420057933753,0.02556920668646502,0.13246492671015025
22,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/22sp/2cm,235225,393,264.4123195009416,0.5061680371881826,0.41549809733474824,0.22479510711874195,0.5898888497066725,0.5048536575597441,0.20504586915648929,0.13685858906055262,0.09824051896799148,0.1302816856058379,0.14075418088492905,0.10129365211874293,0.13293703756492584,0.06697060160455366,0.02278179207313316,0.12876287935674374,0.07254754091718041,0.025426394637484084,0.13819163052918057
25,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/25sp_with_abundance/2cm,235225,393,480.8088725394242,0.4980890504298905,0.4072193568780148,0.22514511040927698,0.5869098074412321,0.5020797855008896,0.2044020657865301,0.1592229178397624,0.10457320020831111,0.19389021746672244,0.1623213905379155,0.1071521256899722,0.19557321134001607,0.11010630718015987,0.02603152752014535,0.30960463264857596,0.11589268556104786,0.028779288019650906,0.3219762922669351
27,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/27sp/2cm,235225,393,577.2730825792117,0.5196091022488012,0.42902224484488044,0.22724665860173343,0.5977680182231783,0.5118655377114617,0.20876177602519774,0.18932248188867098,0.11092101323905985,0.29381452625421506,0.18779218149019888,0.10694072459867997,0.29943436152669023,0.4453622068259498,0.030469058945248408,2.3744123437544076,0.4573953608521966,0.02890708269374741,2.4536085106971752
30,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/30sp_with_abundance/2cm,235225,393,556.6344288680602,0.5021066736364256,0.40829541430061833,0.22269307842783592,0.58823747686205,0.5006487799436521,0.20204504410905094,0.1280590869945838,0.10203280200059534,0.09371957064360834,0.1291427991587881,0.10365087138937468,0.09192020943262534,0.06706713365170903,0.026936473798076656,0.09871919044821902,0.0676331089964473,0.02840801916818514,0.09711229665751528
