species_richness,data_dir,n_valid_pixels,n_valid_bands,CHV,CV_mean_400_2500,CV_mean_430_925,CV_mean_430_700,CV_mean_700_900,CV_mean_1500_1800,CV_mean_2000_2500,CHA_local_mean,CHA_local_median,CHA_local_std,CHA_global_mean,CHA_global_median,CHA_global_std,SAM_local_mean,SAM_local_median,SAM_local_std,SAM_global_mean,SAM_global_median,SAM_global_std,SID_local_mean,SID_local_median,SID_local_std,SID_global_mean,SID_global_median,SID_global_std
3,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/3sp/1m,100,393,0.8336322969581929,36.18405011271375,32.09285976093779,31.744320150677932,32.436838863784374,30.432463200465783,48.4272967054472,0.8100926873137371,0.778469821075715,0.14399533771741718,0.7361760708402016,0.7038797799291767,0.15766076312968572,0.061735770255612846,0.045738132125001704,0.04585045514555094,0.10265135447268033,0.0993475093539366,0.04461091787204756,0.018259128914355275,0.007538666945116495,0.024628085187395513,0.03852414889153644,0.02941780094507917,0.03339383012380016
5,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/5sp_with_abundance/1m,100,393,0.677862112118826,35.08193825837715,30.079709504204462,31.203033880770104,28.65858309984359,31.127555746855705,49.42810422904246,0.7133928507059735,0.6908254172561046,0.10927008663276001,0.68139873161539,0.6612578414917194,0.11476211354276543,0.0695275836475217,0.05515209483886789,0.048918096981004355,0.09061346891671801,0.07777703640427559,0.048020848698305696,0.0208507406731902,0.011574686173380994,0.02574286588605055,0.03191586835886943,0.01928637113973393,0.03309608250986023
7,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/7sp/1m,100,393,1.012787123430529,34.38894322451917,29.048082901691718,30.779478425901438,26.962372674469165,30.574698329757144,50.32777677414677,0.8049220159419401,0.8038451403390352,0.10908953109634774,0.7284795420091319,0.7293333338002206,0.11847795989289268,0.07918780989049297,0.06463735753342809,0.06085766447356522,0.08019445421911728,0.06357618674160906,0.06177188057032694,0.024838430458590036,0.011528525889083163,0.0346044079295069,0.02534586040636793,0.012275535780259446,0.035812768974473067
10,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/10sp_v2/1m,100,393,0.7483701089618154,30.355272794589244,29.29406293989269,30.841872951008188,27.38468577593183,27.768643981971188,36.185802490395474,0.9082194220126713,0.8930145081280926,0.13155687544378603,0.7866980714480524,0.773136533771994,0.1488126270020973,0.04551480659699507,0.03114452028199966,0.03811411542472728,0.0552991666584738,0.044255916646453515,0.0366436316674043,0.010429380746311313,0.002909065134332909,0.02357162995070983,0.014839280706190498,0.0067953213603002575,0.029002400251506643
12,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/12sp/1m,100,393,1.079270752699222,38.231002251535074,28.750281459924942,30.049401878345854,27.175884019525437,35.844600530855416,60.5542356871723,0.7717438190982584,0.7469046872981717,0.10606875285741202,0.711204142010399,0.6855656595722128,0.11348885886708668,0.09983287836075132,0.08317959842299208,0.06905826224820896,0.09695125058217849,0.0710492912135348,0.07598333902526876,0.03300377648678883,0.016946540213249484,0.04136226696026805,0.03257452675274215,0.013525614463912476,0.04602369172577912
15,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/15sp_with_abundance/1m,100,393,0.43532141982869504,42.68491265187627,38.183212281684405,43.740710661587215,31.50029719416903,38.34999627594938,60.066514117660915,0.5109551207857007,0.4986936239952624,0.07889547267480247,0.5831234767066419,0.5703172987692449,0.07092968633280343,0.08900614194559649,0.07013721138863566,0.07507782161813001,0.0940518472548025,0.06522723198617125,0.09052940149804475,0.026850153400261565,0.013264694051021306,0.048225285703665806,0.030707834585316496,0.010162763127833034,0.06413862685508727
17,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/17sp/1m,100,393,2.9809198406245176,42.967226266443916,31.136860795468017,33.40456823049721,28.416603437653183,42.60518330268716,69.80641419955089,0.8323359569941468,0.8096459377335254,0.12585919899468512,0.7472033371348675,0.7239661628658902,0.13552142692109362,0.13041698176550826,0.09920909537515812,0.09474314809056819,0.12590148946139307,0.08433101771561788,0.11753575710359308,0.05006349615208749,0.027849866685547398,0.06081794789273616,0.0536678186046674,0.019665082474864797,0.08461628381338888
20,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/20sp/1m,100,393,0.7033307680392162,49.0212654235314,46.56236043254029,50.4185637349772,41.906876969128234,45.91823941757778,61.20121428164834,0.4661272559259343,0.4480891392667936,0.10382561184962565,0.5655965664969677,0.5479465757968713,0.0908760894609588,0.08048919018724211,0.06211377601853893,0.06201561658360157,0.0845555667108327,0.06509962888204057,0.05945885880294633,0.024981145871762398,0.010939013424938838,0.0395874536478689,0.026110374423990144,0.012419892282154996,0.038028368637445624
22,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/22sp/1m,100,393,0.2312961228138534,46.30228056954985,44.886284242315014,50.62997864174122,37.90467162831768,42.651942618713235,56.2162625790868,0.47193945869756865,0.4637024340646547,0.08547526796812299,0.5662655860228254,0.5564076801118509,0.07258119846077558,0.0780511183656273,0.06467160165336713,0.057750550847908186,0.08163976544846932,0.06695921497126239,0.05664198454269865,0.05498124709773745,0.011997211520457247,0.3129292614126754,0.05753518544560566,0.012843718996715832,0.3200275631712555
25,D:/Drive F 5-11-2024/A_BiosCape_Project3/Spectral_diversity/different_species/25sp_with_abundance/1m,100,393,0.5896663702754757,44.53534587112147,42.50743083893732,44.432686605447444,40.15483359408353,40.80690566730785,53.296159574795084,0.49750455634074364,0.4773582274864311,0.10764315733208926,0.5786110983176156,0.5590727750192922,0.09634762155248415,0.07690257809548189,0.061742553630304384,0.052479818576163545,0.08015222220038262,0.0663206407309789,0.05075755144998647,0.022162243858038465,0.011422268550510739,0.02772123353371763,0.02348308878105463,0.012811630833818045,0.027095730723243342
