species_richness,wavelength_nm,cv_spectrum_percent
3,402.188,33.31453898548235
3,406.56199999999995,33.296909017489426
3,410.93800000000005,33.239232330569976
3,415.313,33.139574938265234
3,419.68699999999995,33.01896943537996
3,424.06300000000005,32.89718360924722
3,428.438,32.8066982579349
3,432.813,32.80212314638144
3,437.18800000000005,32.888967244810054
3,441.563,33.024836087546625
3,445.938,33.16514452120576
3,450.31300000000005,33.27579047414183
3,454.688,33.35314853848349
3,459.063,33.41055758283324
3,463.438,33.456329803775084
3,467.813,33.489842301568046
3,472.187,33.50789535550015
3,476.562,33.50817619444395
3,480.938,33.48802911926783
3,485.313,33.4405220707336
3,489.688,33.35293327575001
3,494.063,33.21093931611449
3,498.438,32.992540791623995
3,502.812,32.6814890565154
3,507.188,32.29378753264533
3,511.563,31.852138708634264
3,515.937,31.37402883711116
3,520.313,30.90934697361464
3,524.687,30.504783903174644
3,529.062,30.172260245508518
3,533.438,29.922852091558383
3,537.813,29.75479900174974
3,542.188,29.649797573631503
3,546.563,29.58838212585148
3,550.938,29.560420231353067
3,555.312,29.56893346091416
3,559.688,29.6237060015834
3,564.063,29.72987484986767
3,568.438,29.882867095738973
3,572.813,30.065765633527608
3,577.187,30.246911308675834
3,581.562,30.40089410357018
3,585.938,30.523914176813705
3,590.313,30.622661735278058
3,594.688,30.695442306119645
3,599.063,30.74949774958824
3,603.438,30.811310138052438
3,607.812,30.902865762825282
3,612.188,31.02744131513009
3,616.563,31.16741204235445
3,620.937,31.292238197300808
3,625.312,31.38354334219548
3,629.687,31.453567710555795
3,634.063,31.542030310333786
3,638.437,31.693102710821226
3,642.813,31.925037812517825
3,647.188,32.21778877339047
3,651.563,32.52536660225501
3,655.938,32.83420987141763
3,660.313,33.175871093669166
3,664.687,33.54217749704907
3,669.063,33.85714822253205
3,673.438,34.020772539445645
3,677.813,33.9481707325708
3,682.187,33.51403265590895
3,686.562,32.53663796567712
3,690.937,31.152060232247948
3,695.312,29.89560326257561
3,699.688,28.987130024000017
3,704.063,28.390203059051462
3,708.438,28.054101550082926
3,712.813,27.92532792254822
3,717.187,28.002821946675027
3,721.563,28.34218385695201
3,725.938,28.90855289501337
3,730.313,29.600524863440818
3,734.687,30.298523413480833
3,739.063,30.95069685969226
3,743.437,31.541808658296688
3,747.812,32.05356553530841
3,752.188,32.48383257753401
3,756.563,32.87307922649324
3,760.938,33.31945049206687
3,765.313,33.72872271407037
3,769.688,33.8980526777484
3,774.063,33.934663061752524
3,778.438,33.92537741032508
3,782.813,33.89238856922612
3,787.188,33.84881941190664
3,791.563,33.79999750150663
3,795.937,33.75038714293702
3,800.312,33.70459048341843
3,804.688,33.66433827616946
3,809.063,33.63592343886748
3,813.438,33.61719093173602
3,817.813,33.590676412414425
3,822.188,33.55143002743192
3,826.5630000000001,33.512298073941835
3,830.937,33.47332622267385
3,835.313,33.42721635397975
3,839.688,33.375458527199385
3,844.063,33.32343735592747
3,848.437,33.27381261785789
3,852.812,33.22600066471307
3,857.187,33.18127259769952
3,861.563,33.142350131936034
3,865.938,33.10810435915534
3,870.313,33.078563862886085
3,874.687,33.05601547509488
3,879.063,33.040683839907636
3,883.437,33.03156419131687
3,887.813,33.029500444184066
3,892.188,33.03742010662942
3,896.562,33.05349312904721
3,900.938,33.067948655693776
3,905.312,33.0788960602577
3,909.6880000000001,33.09476637643075
3,914.062,33.1168485052299
3,918.438,33.144794132212546
3,922.813,33.18430104381648
3,927.188,33.238791384172586
3,931.563,33.30601860034097
3,935.937,33.352187858235425
3,940.312,33.27299110083244
3,944.688,33.05896473189501
3,949.063,32.73820827043639
3,953.438,32.39049255753008
3,957.812,32.10642049681017
3,962.187,31.928430028991993
3,966.562,31.839876954161646
3,970.938,31.80280251211316
3,975.313,31.794020550414732
3,979.688,31.806053427031834
3,984.063,31.833524861428327
3,988.438,31.87211554745285
3,992.812,31.924817432995532
3,997.188,31.99945036710316
3,1001.5600000000001,32.09743328580933
3,1005.94,32.21194721472406
3,1010.3100000000001,32.335845419386395
3,1014.69,32.46632026619839
3,1019.0600000000001,32.60414434674674
3,1023.4399999999999,32.74416021350111
3,1027.81,32.870437532426166
3,1032.19,32.96712404792985
3,1036.56,33.03433912456803
3,1040.94,33.08481229741011
3,1045.31,33.12672635652347
3,1049.69,33.15900015747359
3,1054.06,33.17314536865734
3,1058.44,33.16239809677395
3,1062.81,33.135044610088386
3,1067.19,33.1085372751602
3,1071.5600000000002,33.09412251047109
3,1075.9399999999998,33.09639260481057
3,1080.3100000000002,33.1179514522689
3,1084.6899999999998,33.155317523274526
3,1089.06,33.19220470577477
3,1093.44,33.213567005006375
3,1097.81,33.220526749425176
3,1102.19,33.22151428815078
3,1106.56,33.22222575183486
3,1110.94,33.22669742433827
3,1115.31,33.238054564808806
