species_richness,wavelength_nm,local_mean_spectrum
3,402.188,0.010255482839420437
3,406.56199999999995,0.010280604015570134
3,410.93800000000005,0.010374033791013062
3,415.313,0.010572763364762068
3,419.68699999999995,0.01090093438513577
3,424.06300000000005,0.011380235070828349
3,428.438,0.012039796963799745
3,432.813,0.012838695039972663
3,437.18800000000005,0.0136502396594733
3,441.563,0.014419996817596257
3,445.938,0.015124663920141756
3,450.31300000000005,0.015730071128346026
3,454.688,0.016229202365502716
3,459.063,0.016628343276679516
3,463.438,0.016930396389216184
3,467.813,0.01715316956862807
3,472.187,0.017323244540020825
3,476.562,0.01746333932504058
3,480.938,0.017607309818267823
3,485.313,0.01781828057486564
3,489.688,0.018160351584665477
3,494.063,0.018675017277710138
3,498.438,0.019444810021668674
3,502.812,0.020588279194198547
3,507.188,0.02217554421629757
3,511.563,0.02429401517380029
3,515.937,0.02708441046997905
3,520.313,0.030402682134881617
3,524.687,0.033792364299297335
3,529.062,0.03693932271562517
3,533.438,0.039610728165134786
3,537.813,0.04172173878178
3,542.188,0.043366322331130504
3,546.563,0.04462661506608129
3,550.938,0.04545039533637464
3,555.312,0.0456690024677664
3,559.688,0.045148997800424695
3,564.063,0.04393202304840088
3,568.438,0.04217649818398059
3,572.813,0.04013479744084179
3,577.187,0.038183247866109014
3,581.562,0.03658494228497147
3,585.938,0.035364308841526505
3,590.313,0.03443633385002613
3,594.688,0.03374290524981916
3,599.063,0.03315961804240942
3,603.438,0.032474022852256895
3,607.812,0.03155709506943822
3,612.188,0.03046129994094372
3,616.563,0.029384165070950985
3,620.937,0.028535235868766905
3,625.312,0.027979790512472392
3,629.687,0.027596553675830363
3,634.063,0.027145758653059602
3,638.437,0.02642776886932552
3,642.813,0.02543200657237321
3,647.188,0.024314891803078352
3,651.563,0.02325017492286861
3,655.938,0.02225151759106666
3,660.313,0.021260632798075677
3,664.687,0.02035971002653241
3,669.063,0.019709903462789953
3,673.438,0.019441330130212008
3,677.813,0.01965947339311242
3,682.187,0.0206384812714532
3,686.562,0.023167953714728354
3,690.937,0.028549603298306466
3,695.312,0.03771206708624959
3,699.688,0.050882157338783145
3,704.063,0.06752039317041636
3,708.438,0.08594989497214556
3,712.813,0.10530199524015188
3,717.187,0.1274635534733534
3,721.563,0.15363508939743042
3,725.938,0.18047330364584924
3,730.313,0.2048884239792824
3,734.687,0.22488107107579708
3,739.063,0.240583211556077
3,743.437,0.25281941175460815
3,747.812,0.26189419232308864
3,752.188,0.2682092593610287
3,756.563,0.2726349419355392
3,760.938,0.2765840835124254
3,765.313,0.28008775793015955
3,769.688,0.2820099750906229
3,774.063,0.28306223064661024
3,778.438,0.28381748907268045
3,782.813,0.28438035912811754
3,787.188,0.28482855841517446
3,791.563,0.2852166373282671
3,795.937,0.2855591667443514
3,800.312,0.28586686089634894
3,804.688,0.2861473543196917
3,809.063,0.28642536416649816
3,813.438,0.28672980196774006
3,817.813,0.2870235380530357
3,822.188,0.2872139785438776
3,826.5630000000001,0.287293017283082
3,830.937,0.28731861397624014
3,835.313,0.2873590997606516
3,839.688,0.2874600062519312
3,844.063,0.28761877574026584
3,848.437,0.2878167174756527
3,852.812,0.28803359374403953
3,857.187,0.2882356798648834
3,861.563,0.28840645037591456
3,865.938,0.28856070779263976
3,870.313,0.28870206743478777
3,874.687,0.28881707675755025
3,879.063,0.28889894038438796
3,883.437,0.2889463493227959
3,887.813,0.28897223867475985
3,892.188,0.2890004226565361
3,896.562,0.2890251844376326
3,900.938,0.28899826668202877
3,905.312,0.2889142407476902
3,909.6880000000001,0.28878107473254205
3,914.062,0.28853476375341414
3,918.438,0.28815739080309866
3,922.813,0.28773171715438367
3,927.188,0.2872743680328131
3,931.563,0.28652318693697454
3,935.937,0.28455211654305457
3,940.312,0.2815820720791817
3,944.688,0.278401488289237
3,949.063,0.2741735780239105
3,953.438,0.26931671783328054
3,957.812,0.2649045430868864
3,962.187,0.26184226423501966
3,966.562,0.2602089330554008
3,970.938,0.25949477575719354
3,975.313,0.2593265996873379
3,979.688,0.2596643989533186
3,984.063,0.2604925448447466
3,988.438,0.2617527165263891
3,992.812,0.2633591274917126
3,997.188,0.26516261652112005
3,1001.5600000000001,0.2670885156095028
3,1005.94,0.26915471196174623
3,1010.3100000000001,0.2713268968462944
3,1014.69,0.2735150205343962
3,1019.0600000000001,0.27566541500389574
3,1023.4399999999999,0.27774872168898584
3,1027.81,0.2797197040170431
3,1032.19,0.28154033549129964
3,1036.56,0.28320577390491963
3,1040.94,0.2847145637869835
3,1045.31,0.2860581837594509
3,1049.69,0.2872350168973207
3,1054.06,0.2882263170927763
3,1058.44,0.289014485552907
3,1062.81,0.2896110841631889
3,1067.19,0.2900437407195568
3,1071.5600000000002,0.2903275775909424
3,1075.9399999999998,0.29046282581984995
3,1080.3100000000002,0.2904489466547966
3,1084.6899999999998,0.29028153732419015
3,1089.06,0.2899639257788658
3,1093.44,0.2895096958428621
3,1097.81,0.2889186228811741
3,1102.19,0.28818879194557667
3,1106.56,0.28737618811428545
3,1110.94,0.2865882044285536
3,1115.31,0.285781417042017
3,1119.69,0.284413365572691
3,1124.06,0.2806027194112539
3,1128.44,0.27335643537342547
3,1132.8100000000002,0.26526219710707666
3,1137.1899999999998,0.257737307921052
3,1141.56,0.25034598134458064
3,1145.94,0.23988625437021255
3,1150.31,0.2287021416425705
3,1154.69,0.22214911796152592
3,1159.06,0.21888904009014368
3,1163.44,0.21707193534821273
3,1167.81,0.21589653339236975
3,1172.19,0.21503036510199308
3,1176.56,0.214304829351604
3,1180.94,0.21360806807875632
3,1185.3100000000002,0.21292739614844322
3,1189.6899999999998,0.2123932547494769
3,1194.06,0.21214372992515565
3,1198.44,0.2122584879025817
3,1202.81,0.2127656988054514
3,1207.19,0.21361723445355893
3,1211.56,0.21478666976094246
3,1215.94,0.21623144458979368
3,1220.31,0.2178246271237731
3,1224.69,0.21947207789868117
3,1229.06,0.22109541207551955
3,1233.44,0.22262004774063826
3,1237.8100000000002,0.22401880480349065
3,1242.1899999999998,0.22530509926378728
3,1246.56,0.22649009294807912
3,1250.94,0.2275409648567438
3,1255.31,0.22841132141649723
3,1259.69,0.2290853075683117
3,1264.06,0.22953064262866973
3,1268.44,0.22963230051100253
3,1272.81,0.2293106108158827
3,1277.19,0.22860415436327458
3,1281.56,0.22752718150615692
3,1285.94,0.22608229763805865
3,1290.3100000000002,0.22424821846187115
3,1294.6899999999998,0.2219186831265688
3,1299.0600000000002,0.21902405880391598
3,1303.4399999999998,0.21555966906249524
3,1307.81,0.21148640889674425
3,1312.19,0.20671165522187948
3,1316.56,0.20128780648112296
3,1320.94,0.1956503351405263
3,1325.31,0.1901256126537919
3,1329.69,0.18406793352216483
3,1334.06,0.17684567615389823
3,1338.44,0.1706377338990569
3,1342.81,0.1666114030405879
3,1347.19,0.16394715130329132
3,1500.31,0.04786319576203823
3,1504.69,0.04956731210462749
3,1509.0600000000002,0.05135973100550473
3,1513.4399999999998,0.05317398425191641
3,1517.8100000000002,0.05508814318105579
3,1522.1899999999998,0.057011588606983424
3,1526.56,0.05893027152866125
3,1530.94,0.06089198045432567
3,1535.31,0.06285596914589404
3,1539.69,0.06482219491153955
3,1544.06,0.06680559597909451
3,1548.44,0.06876663407310843
3,1552.81,0.07068360218778252
3,1557.19,0.07257044184952974
3,1561.56,0.07439406124874949
3,1565.94,0.07616638667881488
3,1570.3100000000002,0.07797104757279158
3,1574.6899999999998,0.07979770638048649
3,1579.06,0.08155716259032487
3,1583.44,0.08324957573786378
3,1587.81,0.08491637155413628
3,1592.19,0.08655440922826528
3,1596.56,0.08813253503292799
3,1600.94,0.08968113278970122
3,1605.31,0.09119956322014332
3,1609.69,0.09265636002644896
3,1614.06,0.09402963533997535
3,1618.44,0.09529578048735857
3,1622.8100000000002,0.09648262774571777
3,1627.1899999999998,0.09759119482710958
3,1631.56,0.09859152968972922
3,1635.94,0.09947599049657584
3,1640.31,0.10025368973612786
3,1644.69,0.10090242892503738
3,1649.06,0.10137962190434337
3,1653.44,0.10168277660384774
3,1657.81,0.10185193380340934
3,1662.19,0.10194376030936837
3,1666.56,0.10198368614539505
3,1670.94,0.1019282629340887
3,1675.3100000000002,0.10169827319681644
3,1679.6899999999998,0.10124975195154548
3,1684.06,0.10060367058962584
3,1688.44,0.09980052180588245
3,1692.81,0.09885301202535629
3,1697.19,0.0977741352468729
3,1701.56,0.0966038634441793
3,1705.94,0.09538482535630464
3,1710.31,0.0941524107567966
3,1714.69,0.09298739103600383
3,1719.06,0.09192802410572767
3,1723.44,0.09093590896576643
3,1727.8100000000002,0.09003316232934594
3,1732.1899999999998,0.08920352075248957
3,1736.5600000000002,0.08828747330233455
3,1740.9399999999998,0.08718959616497159
3,1745.31,0.08590594680979848
3,1749.69,0.08450762700289488
3,1754.06,0.08312461758032441
3,1758.44,0.0818210850097239
3,1762.81,0.0806636368855834
3,1767.19,0.079648098051548
3,1771.56,0.07882757691666484
3,1775.94,0.07817560339346528
3,1780.31,0.07761157648637891
3,1784.69,0.07716417044401169
3,1789.0600000000002,0.0768670335225761
3,1999.06,0.020597344939596952
3,2003.4399999999998,0.021213973639532924
3,2007.8100000000002,0.02198569046333432
3,2012.1899999999998,0.022622774168848992
3,2016.5600000000002,0.023378984918817878
3,2020.94,0.024026371613144873
3,2025.3100000000002,0.024496194352395834
3,2029.69,0.02494228487368673
3,2034.0600000000002,0.025381985059939324
3,2038.44,0.02581021244637668
3,2042.8099999999997,0.026244261115789414
3,2047.19,0.026670863744802775
3,2051.56,0.027136547761037945
3,2055.94,0.027681051031686367
3,2060.31,0.028204086762852968
3,2064.69,0.02870951175224036
3,2069.06,0.029248618450947107
3,2073.44,0.02977954190224409
3,2077.81,0.030277235438115894
3,2082.19,0.030767437648028136
3,2086.56,0.03127614429220557
3,2090.9399999999996,0.0317895878944546
3,2095.31,0.03229686716105789
3,2099.69,0.032816173546016215
3,2104.06,0.03333390821702778
3,2108.44,0.03382255237549543
3,2112.81,0.03429852388799191
3,2117.19,0.034775943653658034
3,2121.56,0.03525288964621723
3,2125.94,0.03571301114745438
3,2130.31,0.03614481476135552
3,2134.69,0.03655920362100005
3,2139.0600000000004,0.036973490212112665
3,2143.44,0.03738203725777566
3,2147.8100000000004,0.037791700782254335
3,2152.19,0.03822069270536303
3,2156.56,0.03863634565845132
3,2160.94,0.03901639634743333
3,2165.31,0.03938411775976419
3,2169.69,0.03973631980828941
3,2174.06,0.04007230608724058
3,2178.44,0.04040431911125779
3,2182.81,0.04074261731468141
3,2187.19,0.04107816084288061
3,2191.56,0.04136635879985988
3,2195.9399999999996,0.04161396280862391
3,2200.31,0.04184847578406334
3,2204.6899999999996,0.04206061796285212
3,2209.06,0.04222869665361941
3,2213.44,0.04233405563980341
3,2217.81,0.04236950101330876
3,2222.19,0.04232283738441765
3,2226.56,0.042160967523232104
3,2230.94,0.04185272614471614
3,2235.31,0.041393537763506176
3,2239.69,0.04080588599666953
3,2244.06,0.04011648079380393
3,2248.44,0.03935199865140021
3,2252.8100000000004,0.038547992445528506
3,2257.19,0.03772559314034879
3,2261.56,0.03690929148346186
3,2265.94,0.036129000578075644
3,2270.31,0.03540209719911218
3,2274.69,0.03472366413101554
3,2279.06,0.034068400980904696
3,2283.44,0.0334077041875571
3,2287.81,0.032725424957461655
3,2292.19,0.032002549427561464
3,2296.56,0.03125955208670348
3,2300.94,0.030591355990618466
3,2305.31,0.030062513034790753
3,2309.6899999999996,0.029678466659970582
3,2314.06,0.029391484800726175
3,2318.44,0.029108999222517015
3,2322.81,0.02876847128383815
3,2327.19,0.02838246866595
3,2331.56,0.027968355803750455
3,2335.94,0.02752988824620843
3,2340.31,0.027073866855353117
3,2344.69,0.026651900629512965
3,2349.06,0.026300163930281995
3,2353.44,0.025983407469466327
3,2357.8100000000004,0.02571600374300033
3,2362.19,0.02548722210340202
3,2366.5600000000004,0.025242996723391115
3,2370.94,0.02494355260860175
3,2375.31,0.02463352927006781
3,2379.69,0.02432690214831382
3,2384.06,0.023957834970206024
3,2388.44,0.023551935479044914
3,2392.81,0.02318515408784151
3,2397.19,0.022854157951660455
3,2401.56,0.02254267339129001
3,2405.94,0.022210003966465594
3,2410.31,0.021831363220699132
3,2414.6899999999996,0.02138060598168522
3,2419.06,0.020883086230605842
3,2423.4399999999996,0.02054610359016806
3,2427.81,0.020296195852570236
3,2432.19,0.019993310305289926
3,2436.56,0.019592516678385435
3,2440.94,0.019312259475700557
3,2445.31,0.019017136285547166
3,2449.69,0.018117356451693923
3,2454.06,0.017390006352216006
3,2458.44,0.017332860741298646
3,2462.81,0.017105239229276776
3,2467.19,0.016526048118248583
3,2471.5600000000004,0.0153790716198273
5,402.188,0.00932725460268557
5,406.56199999999995,0.00937613687478006
5,410.93800000000005,0.009496221712324768
5,415.313,0.00970748099964112
5,419.68699999999995,0.0100125467707403
5,424.06300000000005,0.010411310521885753
5,428.438,0.010913672680035234
5,432.813,0.011487403167411685
5,437.18800000000005,0.012051032148301602
5,441.563,0.012580250520259142
5,445.938,0.013069831323809922
5,450.31300000000005,0.013499672133475542
5,454.688,0.013860535086132586
5,459.063,0.014150290065445006
5,463.438,0.014368126476183534
5,467.813,0.014529655962251127
5,472.187,0.014659188534133137
5,476.562,0.014774858434684575
5,480.938,0.014900918435305357
5,485.313,0.015087603460997343
5,489.688,0.015389644308015704
5,494.063,0.015847559566609562
5,498.438,0.016543049868196248
5,502.812,0.017591449576430024
5,507.188,0.01906269183382392
5,511.563,0.021040973546914758
5,515.937,0.023658176269382238
5,520.313,0.026777306133881212
5,524.687,0.029968244563788174
5,529.062,0.032935393704101444
5,533.438,0.03545773309655487
5,537.813,0.03745102116838098
5,542.188,0.03899895305745304
5,546.563,0.0401771688926965
5,550.938,0.04094111602753401
5,555.312,0.04113907316699624
5,559.688,0.04064691081643104
5,564.063,0.03950172775425017
5,568.438,0.03785580758936703
5,572.813,0.03595133128575981
5,577.187,0.034139396911486986
5,581.562,0.032661889856681225
5,585.938,0.03154066580347717
5,590.313,0.03069346211850643
5,594.688,0.030060385763645173
5,599.063,0.029528425289317966
5,603.438,0.028908542739227414
5,607.812,0.028083654288202524
5,612.188,0.027098134532570838
5,616.563,0.026129244770854713
5,620.937,0.02536906118504703
5,625.312,0.024879325376823545
5,629.687,0.02454606171697378
5,634.063,0.024141410682350397
5,638.437,0.023477726317942142
5,642.813,0.02254994696006179
5,647.188,0.021512129525654018
5,651.563,0.020532336095348002
5,655.938,0.0196231609582901
5,660.313,0.018724564877338708
5,664.687,0.017909715636633336
5,669.063,0.017330469992011786
5,673.438,0.01710923122242093
5,677.813,0.017342764516361058
5,682.187,0.018284526490606367
5,686.562,0.020662778909318148
5,690.937,0.025647453060373665
5,695.312,0.034008097723126414
5,699.688,0.04585447067394852
5,704.063,0.06064188785851002
5,708.438,0.07686493100598454
5,712.813,0.0937675579637289
5,717.187,0.11299365356564522
5,721.563,0.1355627043917775
5,725.938,0.15857904605567455
5,730.313,0.1794214603304863
5,734.687,0.19643912486732007
5,739.063,0.2097834948450327
5,743.437,0.22016861900687218
5,747.812,0.2278664105385542
5,752.188,0.2332294898480177
5,756.563,0.23699651926755905
5,760.938,0.24036639533936976
5,765.313,0.24336435876786708
5,769.688,0.24504747845232486
5,774.063,0.24603856272995472
5,778.438,0.24681291624903678
5,782.813,0.24743804156780244
5,787.188,0.24796863503754138
5,791.563,0.24844625540077686
5,795.937,0.24888010300695895
5,800.312,0.24927879355847835
5,804.688,0.24964606694877148
5,809.063,0.2500059114396572
5,813.438,0.2503962153941393
5,817.813,0.250783129632473
5,822.188,0.25105781473219396
5,826.5630000000001,0.2512068522721529
5,830.937,0.25129722207784655
5,835.313,0.2514017118513584
5,839.688,0.2515663968771696
5,844.063,0.2517888006567955
5,848.437,0.252052366733551
5,852.812,0.25233972422778606
5,857.187,0.25261485271155837
5,861.563,0.2528572963923216
5,865.938,0.25308205775916576
5,870.313,0.25329052314162254
5,874.687,0.2534694195538759
5,879.063,0.25361900046467784
5,883.437,0.25373990908265115
5,887.813,0.2538413374871016
5,892.188,0.253947798833251
5,896.562,0.2540623605251312
5,900.938,0.25413408130407333
5,905.312,0.25413511857390403
5,909.6880000000001,0.2540768349170685
5,914.062,0.2539035589993
5,918.438,0.2535851585865021
5,922.813,0.25319869950413704
5,927.188,0.25277211509644987
5,931.563,0.25207608930766584
5,935.937,0.2502915941178799
