species_richness,pixel_index,CHA_local,CHA_global,SAM_local_rad,SAM_global_rad,SAM_local_deg,SAM_global_deg,SID_local,SID_global
3,0,0.814582306537652,0.7326522885486276,0.11527671036098944,0.030371781314384432,6.604868979836703,1.740174885608524,0.033684446902498735,0.0023414102490327965
3,1,0.9877267555704488,0.9291523989183552,0.03808988732838813,0.10348332712778384,2.1823897860454746,5.929157894393674,0.009701509704156973,0.045304819113202686
3,2,0.7550088107443371,0.6737543378423516,0.05373463373739969,0.04206368820546021,3.078767726834287,2.4100718049270897,0.01086870434611311,0.0026068067715518707
3,3,0.9275314651517436,0.8634369703998127,0.04057216383858093,0.08746440089991764,2.324613753663985,5.0113410292055205,0.0058961013951403015,0.029791230548503723
3,4,0.7150968694620181,0.6287374735655791,0.07778209284556342,0.04460676028210693,4.4565856417455,2.5557791019165164,0.011474031389446665,0.009175985748049035
3,5,0.8905652047093607,0.8290465200382233,0.023162574914484594,0.08312538732970177,1.327117785255561,4.7627338643821595,0.002001668814017684,0.021389440740832703
3,6,0.8245433014845955,0.7485993123433672,0.08703046355571188,0.02943801546548644,4.986478250809415,1.6866740434132186,0.014822815419073758,0.004490405945206413
3,7,0.9072356960926312,0.8436072521491619,0.0304210926428085,0.09050346457064919,1.7430002166094067,5.185466551209974,0.00398565567020691,0.014114922950364442
3,8,1.062391653427256,1.0141775546538407,0.06164186079855723,0.14932708218583882,3.5318184650902475,8.555811576251743,0.012454236476946844,0.06278174079593919
3,9,0.7648115189607293,0.6899447265796953,0.02998337532647796,0.11577237613923472,1.717920861763874,6.633268536979226,0.002737790143307599,0.03474418615579182
3,10,0.76545184037675,0.6796849428295466,0.14300404214764198,0.05971137150799118,8.193528068370826,3.4212095763456087,0.05563896248536504,0.010080532983778073
3,11,0.8788476071713951,0.8162779461270192,0.021850278923036953,0.1050617543241791,1.251928763473675,6.019595111015788,0.0015629155644837208,0.025358004981664732
3,12,0.7259634296602008,0.6384419927413344,0.10691595172764809,0.03074971019508877,6.125832796618678,1.761828615428986,0.03405193720738932,0.0034235473597211408
3,13,0.6907840525691632,0.5921779784454037,0.16797415301991603,0.08631884825589263,9.62421003532586,4.945705697492834,0.07711551490510253,0.021034637618850646
3,14,0.6652154699715744,0.5772476975391093,0.07544524781483698,0.1622876081044446,4.3226942841087554,9.29839501165777,0.018757900383437852,0.07568141565070423
3,15,0.74677082124621,0.671990716525346,0.045350376289692025,0.13328192585353985,2.5983851607295105,7.636491836783406,0.007747541516242684,0.05162526132245039
3,16,0.6905067957062847,0.6063300881701369,0.017557850571420973,0.09005761827881922,1.0059907350637824,5.159921440376559,0.0015750421402422467,0.020062446722460124
3,17,0.6974598227469018,0.609053901261519,0.11934055788858067,0.04475304142101559,6.837710291752355,2.5641603937983497,0.038062669120811764,0.00669619954618576
3,18,0.8084529200977433,0.7406687301542809,0.02403612368419268,0.10114194211179375,1.37716844295868,5.795006414762271,0.0030808995557476855,0.033321876658585166
3,19,0.7777295075287425,0.7038401218031755,0.027923564322757145,0.07905565765825784,1.5999023846560654,4.529555530449259,0.0027321037883154906,0.013082416318029005
3,20,0.7259685260111779,0.6435816782224753,0.03653153983227645,0.0815910936773267,2.093103051503496,4.674825313567355,0.004048141220930422,0.028695166302803457
3,21,1.1274066462580399,1.0820765914845358,0.06311558648739052,0.151333183734542,3.616256727220405,8.670752728267095,0.016792871966512246,0.07264686037311949
3,22,0.6716353324934407,0.5834643331793307,0.05416398646713797,0.11778006636792196,3.103367826170712,6.748300713652659,0.012298300714498668,0.0555024240868806
3,23,0.7290852163423212,0.6475648860371821,0.06189521134642313,0.0524031204811646,3.546334382220291,3.002477636886295,0.009088748756770165,0.009917565938114867
3,24,0.5818914012591039,0.47457998608230334,0.02485917595393913,0.09357581560629699,1.4243258643338144,5.36149929873524,0.0028855810493126676,0.029044371341654614
3,25,0.756383854519377,0.6800533536738316,0.023918191289677544,0.08930263797824231,1.3704114144850907,5.116664255537983,0.0017903350851807246,0.024402584881123797
3,26,0.6625711766746785,0.5721986030355543,0.030681428070921266,0.07404663894493395,1.7579163378979996,4.2425598986737505,0.002872654877063046,0.013056385890954335
