wavelength_nm,global_mean_spectrum
402.188,0.010986166155707905
406.56199999999995,0.011106055383637188
410.93800000000005,0.011320213695823138
415.313,0.011623714339821163
419.68699999999995,0.011993007608793581
424.06300000000005,0.012413569473037568
428.438,0.012885444336016008
432.813,0.013382280393904296
437.18800000000005,0.013851080215620945
441.563,0.014291973204041521
445.938,0.01471531369354731
450.31300000000005,0.01510751965770396
454.688,0.015454595936910967
459.063,0.015746258488167464
463.438,0.015975558844947956
467.813,0.01615556371691734
472.187,0.016309820126965253
476.562,0.01645459412606821
480.938,0.016613067504901362
485.313,0.01683925176524402
489.688,0.01719584182709999
494.063,0.017733363179674295
498.438,0.018550374649930746
502.812,0.019779900343176754
507.188,0.021493981749517842
511.563,0.023770637507647432
515.937,0.02673303111679464
520.313,0.03020073388213253
524.687,0.03368375521711035
529.062,0.036867404213044214
533.438,0.03953468972194666
537.813,0.041617088073811224
542.188,0.04321883972821525
546.563,0.04443179454819377
550.938,0.04522657810501793
555.312,0.04546718857003725
559.688,0.04503870766207304
564.063,0.043971132832278575
568.438,0.042396873841741275
572.813,0.04054163884196896
577.187,0.03875523375976627
581.562,0.03729070391480718
585.938,0.03618193664984574
590.313,0.0353551337374059
594.688,0.0347513995818493
599.063,0.034248104971193245
603.438,0.03364121249576177
607.812,0.032800841010272655
612.188,0.03177100080079981
616.563,0.030745923129919295
620.937,0.029943101754179226
625.312,0.029438381088208794
629.687,0.02910602170159109
634.063,0.028682452903982872
638.437,0.02794483364438444
642.813,0.026881808874992807
647.188,0.02567328814805175
651.563,0.024519465538226846
655.938,0.02343151528262145
660.313,0.02233079349292287
664.687,0.021306993438532422
669.063,0.020556321382367362
673.438,0.020244687060961344
677.813,0.020508874265942723
682.187,0.021673663540180618
686.562,0.02459226839632417
690.937,0.030479005861319214
695.312,0.03984317111307367
699.688,0.05238253957611354
704.063,0.06724996852533272
708.438,0.08282824169650363
712.813,0.09834918961472189
717.187,0.1152088198189934
721.563,0.13415739515175423
725.938,0.15266407639641935
730.313,0.16875255724415184
734.687,0.18147635604254903
739.063,0.19124677734915166
743.437,0.19879437083223214
747.812,0.20441255883624157
752.188,0.20837400924414395
756.563,0.21120772931569567
760.938,0.21380914006071786
765.313,0.21618932886825254
769.688,0.21757736708968878
774.063,0.21843864789698272
778.438,0.2191456116301318
782.813,0.21974492114192495
787.188,0.2202749755140394
791.563,0.2207689466063554
795.937,0.2212320587070038
800.312,0.22166855954254666
804.688,0.2220772630115971
809.063,0.2224721533075596
813.438,0.22289321286603808
817.813,0.223328156019561
822.188,0.2236803857314711
826.5630000000001,0.2239284421224147
830.937,0.2241282616633301
835.313,0.22433529790025206
839.688,0.22458299344715973
844.063,0.22487136496386181
848.437,0.22518935665798684
852.812,0.2255276963642488
857.187,0.22585886339191347
861.563,0.22616279345781853
865.938,0.22645225203751276
870.313,0.22672902111895382
874.687,0.22698309509859732
879.063,0.2272168522917976
883.437,0.22742729052746047
887.813,0.22761415917271127
892.188,0.22779650485298286
896.562,0.22799313837662338
900.938,0.228172681137609
905.312,0.22828889781298736
909.6880000000001,0.22835142846995343
914.062,0.2283341627738749
918.438,0.2282008601150786
922.813,0.2279922083377217
927.188,0.22773302701146653
931.563,0.22726908342291913
935.937,0.2260213121942555
940.312,0.22414077643615504
944.688,0.22212302622385324
949.063,0.21943591353173056
953.438,0.21636327888195714
957.812,0.21360848288207004
962.187,0.21174360075499862
966.562,0.21079233944105605
970.938,0.21042403891061742
975.313,0.21041889674340686
979.688,0.21075259214577577
984.063,0.21141610552867254
988.438,0.21240029086358844
992.812,0.21364541673567147
997.188,0.21500474162399769
1001.5600000000001,0.2164136466678853
1005.94,0.2179086209507659
1010.3100000000001,0.21948116493256142
1014.69,0.22107434444595128
1019.0600000000001,0.2226569316148137
1023.4399999999999,0.22420767426646004
1027.81,0.22568714203933873
1032.19,0.2270657800293217
1036.56,0.2283388998437052
1040.94,0.22950081110155832
1045.31,0.23054657698453715
1049.69,0.2314806324848905
1054.06,0.23229496840853245
1058.44,0.23298226132368047
1062.81,0.23354919127809504
1067.19,0.23400571628163258
1071.5600000000002,0.23435199721716343
1075.9399999999998,0.23458108760416507
1080.3100000000002,0.2346911316892753
1084.6899999999998,0.2346804977968956
1089.06,0.23455583752443393
1093.44,0.2343341762665659
1097.81,0.2340185074042529
1102.19,0.2336045544858401
1106.56,0.23312643500355382
1110.94,0.23265447278662274
1115.31,0.23216591932810843
1119.69,0.2313163953833282
1124.06,0.22886618834144126
1128.44,0.22411951334215702
1132.8100000000002,0.21879980550147593
1137.1899999999998,0.21387266240548342
1141.56,0.20904355832841248
1145.94,0.20217975827865303
1150.31,0.19478712222383668
1154.69,0.19041930160485207
1159.06,0.18823939034404855
1163.44,0.18704080937430262
1167.81,0.18629710616233447
1172.19,0.18578578907530754
1176.56,0.18538585701957344
1180.94,0.1850110711622983
1185.3100000000002,0.1846406499715522
1189.6899999999998,0.18435370968654752
1194.06,0.18425087900677076
1198.44,0.18440217651426793
1202.81,0.1848320898724099
1207.19,0.1855006013577804
1211.56,0.1863854553271085
1215.94,0.1874580323820313
1220.31,0.18863655066117643
1224.69,0.18986371878534555
1229.06,0.19108018816138309
1233.44,0.1922256108839065
1237.8100000000002,0.19328201020757357
1242.1899999999998,0.194259809628129
1246.56,0.19516470773455996
1250.94,0.19597399640052268
1255.31,0.1966564610771214
1259.69,0.19720019916538148
1264.06,0.19758233771193773
1268.44,0.1977230563480407
1272.81,0.19756503291117647
1277.19,0.197137755388394
1281.56,0.19645808972107867
1285.94,0.19552684533254555
1290.3100000000002,0.19432564994785934
1294.6899999999998,0.19278171935429175
1299.0600000000002,0.19084252047973374
1303.4399999999998,0.18849724905099718
1307.81,0.18571058246307076
1312.19,0.18240112053696067
1316.56,0.1785900114600857
1320.94,0.17458421372032415
1325.31,0.17062246775409828
1329.69,0.16623314080604662
1334.06,0.1609405694847616
1338.44,0.1563406266256546
1342.81,0.15332409131030242
1347.19,0.15131321117126692
1500.31,0.05437979980090556
1504.69,0.05603950788548294
1509.0600000000002,0.05777811187207893
1513.4399999999998,0.05952950042061275
1517.8100000000002,0.0613660639571511
1522.1899999999998,0.06319821201723244
1526.56,0.06501175063567341
1530.94,0.06685199292422718
